date,amount,category,use_chip
2025-10-15,250.00,Office Supplies,Online Transaction
2025-10-18,150.00,Travel,Swipe Transaction
2025-10-22,200.00,Office Supplies,Online Transaction
2025-10-25,100.00,Utilities,Online Transaction
2025-10-28,300.00,Travel,Swipe Transaction
2025-11-05,180.00,Office Supplies,Online Transaction
2025-11-10,120.00,Utilities,Online Transaction
2025-11-15,220.00,Office Supplies,Swipe Transaction
2025-11-20,160.00,Travel,Online Transaction
2025-11-25,90.00,Office Supplies,Online Transaction
2025-12-03,280.00,Office Supplies,Online Transaction
2025-12-08,190.00,Travel,Swipe Transaction
2025-12-12,140.00,Utilities,Online Transaction
2025-12-18,210.00,Office Supplies,Swipe Transaction
2025-12-22,110.00,Travel,Online Transaction

